timestamp,value
1719776208227,14163443712
1719776208228,14163509248
1719776208229,14163525632
1719776208231,14163525632
1719776208232,14163525632
1719776208233,14163525632
1719776208234,14163525632
1719776208235,14163525632
1719776208237,14163525632
1719776208238,14163525632
1719776208239,14163525632
1719776208241,14163525632
1719776208242,14163525632
1719776208243,14163525632
1719776208244,14163525632
1719776208246,14163525632
1719776208247,14163525632
1719776208248,14163525632
1719776208249,14163525632
1719776208251,14163525632
1719776208252,14163525632
1719776208253,14163525632
1719776208254,14163525632
1719776208256,14163525632
1719776208257,14163525632
1719776208258,14163525632
1719776208259,14163525632
1719776208261,14163525632
1719776208262,14163525632
1719776208263,14163525632
1719776208264,14163525632
1719776208266,14163525632
1719776208267,14163525632
1719776208268,14163525632
1719776208269,14163525632
1719776208271,14163525632
1719776208272,14163525632
1719776208273,14163525632
1719776208274,14163525632
1719776208276,14163525632
1719776208277,14163525632
1719776208278,14163525632
1719776208279,14163525632
1719776208281,14163525632
1719776208282,14163525632
1719776208283,14163525632
1719776208284,14163525632
1719776208286,14163525632
1719776208287,14163525632
1719776208288,14163525632
1719776208289,14163525632
1719776208291,14163525632
1719776208292,14163525632
1719776208293,14163525632
1719776208294,14163525632
1719776208296,14163525632
1719776208297,14163525632
1719776208298,14163525632
1719776208299,14163525632
1719776208301,14163525632
1719776208302,14163525632
1719776208303,14163525632
1719776208304,14163525632
1719776208306,14163525632
1719776208307,14163525632
1719776208308,14163525632
1719776208309,14163525632
1719776208311,14163525632
1719776208312,14163525632
1719776208313,14163525632
1719776208314,14163525632
1719776208316,14163525632
1719776208317,14163525632
1719776208318,14163525632
1719776208319,14163525632
1719776208321,14163525632
1719776208322,14163525632
1719776208323,14163525632
1719776208324,14163525632
1719776208326,14163525632
1719776208327,14163525632
1719776208328,14163525632
1719776208329,14163525632
1719776208331,14163525632
1719776208332,14163525632
1719776208333,14163525632
1719776208334,14163525632
1719776208336,14163525632
1719776208337,14163525632
1719776208338,14163525632
1719776208339,14163525632
1719776208341,14163525632
1719776208342,14163525632
1719776208343,14163525632
1719776208344,14163525632
1719776208346,14163525632
1719776208347,14163525632
1719776208348,14163525632
1719776208349,14163525632
1719776208351,14163525632
1719776208352,14163525632
1719776208353,14163525632
1719776208354,14163525632
1719776208356,14163525632
1719776208357,14163525632
1719776208358,14163525632
1719776208359,14163525632
